name,category,latitude,longitude
New Delhi,india,28.6139,77.2090
Mumbai,india,19.0760,72.8777
Kolkata,india,22.5726,88.3639
Chennai,india,13.0827,80.2707
Bengaluru,india,12.9716,77.5946
Hyderabad,india,17.3850,78.4867
Ahmedabad,india,23.0225,72.5714
Pune,india,18.5204,73.8567
Jaipur,india,26.9124,75.7873
Lucknow,india,26.8467,80.9462
Varanasi,india,25.3176,82.9739
Amritsar,india,31.6340,74.8723
Srinagar,india,34.0837,74.7973
Thiruvananthapuram,india,8.5241,76.9366
Guwahati,india,26.1445,91.7362
Bhopal,india,23.2599,77.4126
Patna,india,25.5941,85.1376
Nagpur,india,21.1458,79.0882
Chandigarh,india,30.7333,76.7794
Kochi,india,9.9312,76.2673
New York,diaspora,40.7128,-74.0060
London,diaspora,51.5074,-0.1278
Toronto,diaspora,43.6532,-79.3832
Dubai,diaspora,25.2048,55.2708
Singapore,diaspora,1.3521,103.8198
Sydney,diaspora,-33.8688,151.2093
San Francisco,diaspora,37.7749,-122.4194
Durban,diaspora,-29.8587,31.0218
Port of Spain,diaspora,10.6549,-61.5019
Kuala Lumpur,diaspora,3.1390,101.6869
